id	category	in_taxon
ENSEMBL:ENSP00000000412	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000225275	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000299767	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000416097	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000363458	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000354376	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000303366	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000369981	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000218548	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000418915	biolink:Protein	NCBITaxon:9606
