id	category	in_taxon
ENSEMBL:ENSG00000003056	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000005381	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000075673	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000107295	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000132698	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000147889	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000157978	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000166598	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000167110	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSG00000169223	biolink:Gene	NCBITaxon:9606
ENSEMBL:ENSP00000000412	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000218548	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000225275	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000299767	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000303366	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000354376	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000363458	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000369981	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000416097	biolink:Protein	NCBITaxon:9606
ENSEMBL:ENSP00000418915	biolink:Protein	NCBITaxon:9606
